Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,Doctor;unmasked;truly;even,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,corruption;Riddler.;fighting;year,The Batman
Thriller,en,2022-02-25,6.3,belonging;kidnapper.;addict;child,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,"family,;hope.;magic;unique",Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,tyrants;stop;them.;plot,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,–;agent;nothing;stash,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,targeting;town’s;streak;killer,Scream
Thriller,en,2022-02-10,6.3,leave;recorded;evidence;thing,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,assassin;killer;superpowered;Kai,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,"ancient;enemy,;mankind’s;reunite",Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,"crosses;prisoner.;involved;Calloway,",Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,strongly;Singularity;Humarize;heroes,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,control;spirals;starts;witness.,Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,manipulating;ambitious;well-chosen;carnival,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,World.;off;head;teams,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,it's;cure;transformed;each,Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,killer;wears;ghost;infamous,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,"tropical;villa.;away;elements,",The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,Savi;—;ends.;clock,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,Red;FBI's;global;there's,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,now;Redshore;cast;ruthless,Sing 2
Horror,en,2022-01-03,5.4,Jack-in-the-box;within;helping;vintage,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,Kasady.;symbiote;ego;host,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,"inside;Neo's;strange;memories,",The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,below;forever…changed…and;company’s;survivors,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,civilization;deadly;pandemic;lab,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,doctor;small;town;officer-turned-sheriff,American Siege
"Action, Adventure",en,2022-02-10,7.1,wisecracking;never;tracking;treasure,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,boars;boar's;oppose;wears,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,small;original;begin;legacy,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,government;female;chaos.;agents,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,drawn;web;left;behind,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,"unfaithful,;Bastian;Valdez;Kat",Marry Me
Horror,en,2022-01-21,5.8,truth;specialist;threatens;attack,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,"respective;gangs;love,;build",West Side Story
"Romance, Drama",es,2022-02-04,7.8,despite;turns;objections.;family's,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,"Demon;history,;At;""Holy",The Seven Deadly Sins: Cursed by Light
Action,en,2021-11-05,6.8,same;attack;An;black,One Shot
"Animation, Comedy, Family, Western",en,2022-01-24,7.1,"homestead;time!;precocious;land-grabber,",Tom and Jerry: Cowboy Up!
"Drama, History, Adventure",ru,2020-10-15,6.2,lives;hundreds;zone.;catastrophe,Chernobyl: Abyss
"Western, Action",en,2022-02-25,6.8,protecting;Carol.;Red;does,Desperate Riders
"Family, Adventure, Comedy, Fantasy",en,2021-11-10,7.3,"uncle;home;Along;school,",Clifford the Big Red Dog
Comedy,en,2022-02-25,6.7,putting;Madea's;hallelujer!;she's,Tyler Perry's A Madea Homecoming
"Animation, Comedy, Adventure, Family",en,2021-07-01,7.6,Ted;Tim;Templeton;—,The Boss Baby: Family Business
"Animation, Family, Comedy, Fantasy",en,2022-03-10,8.6,transforms;giant;experiencing;awkwardness,Turning Red
"Thriller, Mystery, Drama",en,2022-01-13,4.8,killer;instincts;every;comes,Brazen
"Animation, Drama, Comedy, Horror",en,2022-01-14,7.1,fed-up;Across;landlady;house,The House
"Action, Thriller",en,2022-02-10,5.1,covers;conspiracy;echelons;Government,Blacklight
"Animation, Science Fiction, Family, Comedy",en,2021-10-15,8.1,buddy;quite;11-year-old;work,Ron's Gone Wrong
"Comedy, Action, Adventure, Science Fiction",en,2021-08-11,7.7,Free;teller;background;offline.,Free Guy
"Comedy, Crime",en,2021-05-26,8.2,"day,;flair;thieves;eye",Cruella
"Action, Adventure, Fantasy",en,2021-07-28,7.7,"Harley;island;collection;remote,",The Suicide Squad
"Animation, Comedy, Fantasy",en,2021-11-12,6.6,"Disney+;Springfield's;Princess,;Simpsons",The Simpsons in Plusaversary
"Drama, War",en,2022-01-17,6.3,"Nazis;hunt;disabilities,;running",Forgive Us Our Trespasses
"Animation, Comedy, Family, Fantasy",en,2021-06-17,8.0,Italian;deeply-held;sea;monsters,Luca
"Action, Fantasy, Adventure",en,2021-04-07,7.2,"enemies;Emperor;Cole;Sub-Zero,",Mortal Kombat
"Action, Adventure, Fantasy, Science Fiction",en,2021-03-18,8.3,catastrophic;protect;threat;Bruce,Zack Snyder's Justice League
"Science Fiction, Thriller",en,2021-12-17,5.8,uprising—in;stronghold;go;escape,Mother/Android
"Comedy, Drama",fr,1986-11-04,5.5,initial;Roger;presented;His,Exploits of a Young Don Juan
"Science Fiction, Adventure",en,2021-09-15,7.9,explode;Paul;brilliant;malevolent,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,"danger,;wonders;Ivan;Magic",The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,events.;strange;teen;wealthy,The Privilege
Horror,en,2021-06-11,6.4,"entity;Spades,;await;ritual.",Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,"secret;discover;brother,;dangerous",Antlers
"Action, Thriller",en,2021-11-05,6.4,"arrival,;sociopath;island;Soon",Dangerous
"Romance, Drama",en,2021-09-01,7.2,"life,;Just;Hardin,;would",After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,leading;armed;His;old,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,"attack;cop,;forgetful;Mumbai",Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,"friendship,;learns;beloved;life,",Finch
"Thriller, Horror",es,2021-07-23,5.4,"people,;woman,;abdomens;attached",Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,Adventure;bustling;Humdinger;turning,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,"collect;twisted;power,;Everything",Avengers: Infinity War
"Fantasy, Action",en,1989-06-23,7.2,"deformed;""The;face;ruthless",Batman
"Action, Adventure, Science Fiction",en,2021-07-07,7.5,long;broken;Black;confronts,Black Widow
"Animation, Comedy",en,2022-02-18,5.7,wonder;Mickey;magical;journey,The Wonderful Winter of Mickey Mouse
"Action, Crime, Thriller, Adventure",en,2021-05-19,7.3,ever;Dominic;high-performance;skilled,F9
"Action, Adventure, Science Fiction",en,2022-02-03,5.9,sends;we;it.;collision,Moonfall
"Comedy, Drama",es,2022-02-04,2.2,apartments;still;come;sex,"Sex, Shame and Tears 2"
"Animation, Comedy, Family",en,2021-12-03,6.5,just;active;kid;imagination,Diary of a Wimpy Kid
"Comedy, Romance, Science Fiction",th,2022-02-15,5.3,"man,;building;tries;Due",AI Love You
"Action, Science Fiction, Comedy, Family",en,2022-03-30,0.0,"emerald;partner,;Knuckles,;wrong",Sonic the Hedgehog 2
"Mystery, Family",en,2022-02-17,5.7,niece;mayhem;Monstrous;leap,Erax
"Animation, Action, Adventure, Science Fiction",en,2020-08-04,6.9,wrath;Jackal.;murderous;tries,Deathstroke: Knights & Dragons - The Movie
"Action, Drama, History",en,2021-10-13,7.6,Le;settle;de;King,The Last Duel
"Action, Adventure, Comedy, History",ko,2022-01-26,6.6,royal;lost;crew;gold,The Pirates: The Last Royal Treasure
"Horror, Mystery, Thriller",en,2021-10-29,6.5,extended;heads;Following;mother,Paranormal Activity: Next of Kin
"Drama, Crime, Thriller",en,2021-11-24,6.8,"decadence,;legacy;Reggiani,;Patrizia",House of Gucci
"Romance, Horror, Thriller",ru,2021-02-11,6.7,Terror;black;back.;uses,Dark Spell
"Action, Adventure, Comedy, Fantasy",en,2021-07-28,7.6,boat.;medicine.;Frank;enlists,Jungle Cruise
"Action, Fantasy, Science Fiction",en,2021-03-24,7.8,Godzilla;monsters;planet;ages.,Godzilla vs. Kong
"Action, Adventure, Fantasy",en,2012-06-23,6.7,Oscorp;quest;destiny;partner.,The Amazing Spider-Man
"Romance, Crime",en,2022-02-17,5.6,Nikki;together;returns;Teenagers,Heart Shot
"Action, Adventure, Fantasy, Science Fiction",en,2009-12-10,7.5,"torn;century,;alien;moon",Avatar
"Animation, Action, Drama, Science Fiction",ja,2021-06-11,7.8,"meeting;Noa;Federation,;alters",Mobile Suit Gundam Hathaway
"Crime, Comedy",en,2021-10-27,6.9,early;Dieter;lead;Ludwig,Army of Thieves
"Drama, Romance",tr,2022-02-23,5.2,tragedy;falls;rough-hewn;Deniz,UFO
"Thriller, Mystery",en,2022-03-03,5.9,"deception.;unsettling;figure;Croatia,",The Weekend Away
"Animation, Family, Adventure, Fantasy, Comedy",en,2020-11-25,7.6,start;couple;forces;clans,The Croods: A New Age
"Animation, Family, Adventure, Comedy",en,2021-12-03,7.7,plot;judged.;fit;humans,Back to the Outback
"Action, Science Fiction, Adventure",en,2021-07-02,8.0,urgent;Determined;quest;scientist,The Tomorrow War
"Family, Comedy",en,2022-01-28,6.9,12-year-old;football;son;head,Home Team
Drama,en,2021-03-17,7.4,"confusing;navigate;never;tragedy,",The Fallout
"Family, Fantasy, Animation, Action, Adventure",en,2021-03-03,8.0,"last;humanity.;land,;lived",Raya and the Last Dragon
"Science Fiction, Action, Thriller",en,2021-09-09,6.8,Evan;themselves;secret;McCauley,Infinite
"Action, Crime, Thriller",en,2021-04-22,7.7,from.;marksman's;left;Los,Wrath of Man
"Crime, Action, Thriller",en,2021-12-17,6.2,"compound,;officer;officers.;retired",Fortress
"Family, Animation, Comedy, Science Fiction",en,2021-07-08,7.1,highest-stakes;versus;challenge;victory,Space Jam: A New Legacy
"TV Movie, Mystery, Thriller, Comedy",es,2022-01-13,7.3,"evidence;gives;Ortiz,;Lydia",Laura y el misterio del asesino inesperado
"Horror, Mystery, Thriller",en,2021-05-25,7.7,would;fight;they'd;cases,The Conjuring: The Devil Made Me Do It
"Action, Crime, Drama",en,2005-06-10,7.7,underworld;City.;instead;Wayne,Batman Begins
"Romance, Comedy",en,2022-01-20,6.8,runs;hair;fellow;opportunity,The Royal Treatment
"Animation, Comedy, Family, Fantasy",en,2021-11-12,7.5,Luca;far;With;best,Ciao Alberto
"TV Movie, Thriller, Crime",en,2021-06-05,7.8,"vanished.;mysteriously;Jennifer;wealthy,",Gone Mom: The Disappearance of Jennifer Dulos
Horror,en,2021-06-28,6.6,detective;deadly;secret.;murders,Ripper Untold
"Horror, Science Fiction, Drama, Thriller",fr,2021-05-26,6.1,bracelet;how;choice;daughter…,Meander
"Thriller, War",en,2021-11-18,5.3,Vatican;knowledge;keep;bits.,Zeros and Ones
"Action, Adventure",en,2021-07-22,6.8,"tested;loner;losing;But,",Snake Eyes: G.I. Joe Origins
"Action, Thriller, Crime",en,2021-10-08,5.8,"him.;heroes;wrong,;bust",Survive the Game
"Animation, Fantasy, Music, Adventure, Comedy, Family",en,2021-05-28,5.2,teach;Spanish;featuring;life.,Riverdance: The Animated Adventure
"Action, Thriller, Science Fiction",en,2021-11-12,5.4,Thomas;chance;didn’t;Malone,Apex
"Documentary, Crime",en,2022-02-02,7.1,millions;diamond;victims;some,The Tinder Swindler
"Romance, Comedy",tr,2022-02-11,6.7,"love,;believe;tactics.;head",Love Tactics
"Animation, Adventure, Comedy, Family",en,2021-10-01,7.2,characters.;tangled;themselves;wacky,The Addams Family 2
"Action, Adventure, Fantasy",cn,2021-04-27,6.5,rise.;Ambitious;begin;turbulent,Dynasty Warriors
"Animation, Comedy, Family, Adventure",fr,2021-05-15,7.9,turn;Miraculous;Shanghai;loses,Miraculous World: Shanghai – The Legend of Ladydragon
"Animation, Family, Comedy, Adventure, TV Movie",fr,2020-11-21,8.3,field;exist;Cat;school,"Miraculous World: New York, United HeroeZ"
Documentary,en,2022-03-03,6.9,"faces;power;prides,;kinds",Surviving Paradise: A Family Tale
"Animation, Action, Fantasy, Adventure",ja,2019-12-20,8.4,it's;finally;villain;there's,My Hero Academia: Heroes Rising
"War, History, Drama",en,2021-11-04,6.5,"story.;Zazzau,;Zaria,;skills",Amina
"Adventure, Drama",en,2021-12-03,6.4,need;dangerous;increasingly;sons,Encounter
"Horror, Thriller",en,2021-08-06,6.0,"contracts;illness,;past.;decide",Son
"Action, Adventure, Fantasy",en,2020-12-16,6.6,puts;ancient;botched;force,Wonder Woman 1984
"Action, Adventure, Fantasy",en,2014-04-16,6.5,"school;staying;Peter;Electro,",The Amazing Spider-Man 2
Horror,th,2021-12-02,6.5,wall;hole;incidents;strange,The Whole Truth
"Animation, Action, Crime",en,2022-02-07,6.2,crosshairs;steal;both;consortium,Catwoman: Hunted
"Drama, History, War",en,2016-10-07,8.2,kill;people;American;Medic,Hacksaw Ridge
Action,zh,2021-05-06,7.3,choice;under;dies;MMA,Crazy Fist
"Adventure, Fantasy",en,2001-11-16,7.9,whole;learns;waiting;kindly,Harry Potter and the Philosopher's Stone
"Science Fiction, Action, Adventure",en,2012-04-25,7.7,"effort;Fury,;S.H.I.E.L.D.,;pull",The Avengers
"Horror, Fantasy, Mystery",en,2021-06-15,6.1,Wales;strange;monster.;mountains,Dragon Fury
"Horror, Drama",es,2021-07-29,5.1,remote;tries;lost.;something,Tarumama
"Action, Adventure, Fantasy, Science Fiction",en,2016-10-25,7.4,trains;arrogant;sorcerer;gets,Doctor Strange
"Horror, Thriller",en,2021-10-14,6.8,Michael;down;trap;hunt,Halloween Kills
Horror,en,2022-02-10,5.6,gets;considered;alive;priest,The Exorcism of God
"Action, Adventure, Science Fiction",en,2019-06-28,7.5,summer;Peter;disasters;cause,Spider-Man: Far From Home
Documentary,en,2022-01-01,8.0,inviting;interviews;in-depth;making-of,Harry Potter 20th Anniversary: Return to Hogwarts
"Romance, Drama",en,2020-09-02,7.3,Hardin;;Tessa;complicated;dilemma,After We Collided
Thriller,en,2022-02-17,5.8,police;active;incident.;races,The Desperate Hour
"Action, Animation, Science Fiction",ja,2015-04-18,6.8,One;Saiyans.;Balls;subsequently,Dragon Ball Z: Resurrection 'F'
"Animation, Family, Comedy",en,2021-10-28,7.1,They;TEAM;seal;international,Seal Team
"Action, Mystery, Science Fiction, Thriller",en,2009-03-19,6.1,elementary;--;lead;occurred,Knowing
"Fantasy, Horror, Thriller, Drama",en,2021-10-01,7.2,modern;real;teenager;Mexico.,Witch Hunt
"Action, Mystery, Science Fiction, Thriller",en,2014-09-10,7.2,"they're;world,;join;Set",The Maze Runner
Horror,en,2021-03-31,6.8,Virgin;New;spreads;flock,The Unholy
