Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
-141,,Estratovolcán,,,Etna(Italy)
1262,3.0,Volcán subglaciar,,,Katla(Iceland)
1300,4.0,Estratovolcán,,,Hekla(Iceland)
1331,2.0,Caldera volcánica,,,Aso(Japan)
1714,,,True,,Vesuvius(Italy)
1907,,Volcán en escudo,True,,Savai'i(Samoa)
1911,2.0,,,,Asama(Japan)
1913,4.0,Estratovolcán,,,Colima(Mexico)
1944,3.0,Estratovolcán,,,Cleveland(United States)
1952,2.0,Volcán submarino,True,,Myojun Knoll(Japan)
1960,3.0,Estratovolcán,True,True,Puyehue(Chile)
1971,2.0,Estratovolcán,,,La Palma(Spain)
1972,1.0,Estratovolcán,True,,Ritter Island(Papua New Guinea)
1979,3.0,Estratovolcán,,,Soufriere St. Vincent(St. Vincent & the Grenadines)
1983,3.0,Estratovolcán,,True,Miyake-jima(Japan)
1984,3.0,Estratovolcán,,,Etna(Italy)
1990,2.0,Caldera volcánica,,,Aso(Japan)
1991,2.0,Estratovolcán,,,Etna(Italy)
1994,3.0,Estratovolcán,,,Semeru(Indonesia)
2007,,Estratovolcán,,,Salak(Indonesia)
2017,2.0,Estratovolcán,,,Fuego(Guatemala)
2017,,Volcán en escudo,,,Aoba(Vanuatu)
2018,3.0,Volcán en escudo,,,Aoba(Vanuatu)
2019,2.0,Estratovolcán,True,,Stromboli(Italy)
1593,5.0,Estratovolcán,,,Raung(Indonesia)
1609,,Cono volcanico,,,Tengchong(China)
1692,4.0,Estratovolcán,,,Serua(Pacific Ocean)
1718,2.0,Estratovolcán,,,Pico(Portugal)
1846,,Caldera volcánica,,,Taupo(New Zealand)
1866,2.0,Volcán en escudo,,,Santorini(Greece)
1877,0.0,Volcán en escudo,True,True,Mauna Loa(United States)
1883,3.0,Cono de lava,,,Bagana(Papua New Guinea)
1886,4.0,Volcán en escudo,,,Niuafo'ou(Tonga)
1896,2.0,Volcán en escudo,,,Kirishima(Japan)
1902,4.0,Estratovolcán,True,,Pelee(Martinique)
1914,,Volcán en escudo,,,Aoba(Vanuatu)
1923,1.0,Estratovolcán,,,Papandayan(Indonesia)
1928,2.0,Volcán en escudo,,,Santorini(Greece)
1947,,Estratovolcán,,,Akagi(Japan)
1963,5.0,Estratovolcán,True,,Agung(Indonesia)
1963,2.0,Estratovolcán,,,Semeru(Indonesia)
1965,4.0,Estratovolcán,True,,Taal(Philippines)
1973,3.0,Volcán submarino,,,Vestmannaeyjar(Iceland)
1974,3.0,Estratovolcán,,,Karangetang [Api Siau](Indonesia)
1975,0.0,Volcán en escudo,True,True,Kilauea(United States)
1982,5.0,Cono de cenizas,,,"Chichon, El(Mexico)"
1986,3.0,Maar,,,Oku Volc Field(Cameroon)
1992,3.0,Estratovolcán,,,Semeru(Indonesia)
1994,3.0,Estratovolcán,,,Yasur(Vanuatu)
1998,,Estratovolcán,,,San Cristobal(Nicaragua)
2004,2.0,Estratovolcán,,,Tengger Caldera(Indonesia)
2007,,Estratovolcán,,,Huila(Colombia)
2008,,Caldera volcánica,,,Chaiten(Chile)
2008,3.0,Estratovolcán,True,,Kasatochi(United States)
2017,,Estratovolcán,,,Merapi(Indonesia)
-4050,6.0,Caldera volcánica,,,Masaya(Nicaragua)
-2420,5.0,,,,Vesuvius(Italy)
79,5.0,,True,True,Vesuvius(Italy)
1375,5.0,Cono de cenizas,,,"Chichon, El(Mexico)"
1376,3.0,Estratovolcán,,,Kelut(Indonesia)
1538,3.0,Caldera volcánica,,,Campi Flegrei(Italy)
1664,2.0,,,,Unzen(Japan)
1698,3.0,Estratovolcán,,,Cotopaxi(Ecuador)
1775,3.0,Estratovolcán,,,Gamalama(Indonesia)
1800,2.0,Estratovolcán,,,Mayon(Philippines)
1822,4.0,Estratovolcán,,,Usu(Japan)
1822,5.0,Estratovolcán,,,Galunggung(Indonesia)
1840,2.0,Estratovolcán,True,,Gamalama(Indonesia)
1874,3.0,Estratovolcán,,,Miyake-jima(Japan)
1911,,Volcán de lodo,True,,Piparo(Trinidad)
1911,3.0,Estratovolcán,,,Semeru(Indonesia)
1916,3.0,Estratovolcán,True,,Stromboli(Italy)
1928,2.0,,,,Dieng Volc Complex(Indonesia)
1933,2.0,Estratovolcán,True,,Bulusan(Philippines)
1944,2.0,Estratovolcán,,,Usu(Japan)
1953,,Estratovolcán,,,Ruapehu(New Zealand)
1966,4.0,Estratovolcán,,,Kelut(Indonesia)
1966,4.0,Estratovolcán,,,"Lengai, Ol Doinyo(Tanzania)"
1969,,Caldera volcánica,,,Narugo(Japan)
1971,3.0,Estratovolcán,,,"Hudson, Cerro(Chile)"
1973,2.0,,,,Iliwerung(Indonesia)
1979,2.0,Estratovolcán,,,Karkar(Papua New Guinea)
1981,2.0,Estratovolcán,,,Etna(Italy)
1982,5.0,Cono de cenizas,,True,"Chichon, El(Mexico)"
1993,2.0,,,,Galeras(Colombia)
2002,3.0,Estratovolcán,,True,Etna(Italy)
2008,,Estratovolcán,,,Huila(Colombia)
2011,4.0,Estratovolcán,,,Puyehue(Chile)
2013,,Domo de lava,,,Okataina(New Zealand)
2014,3.0,,,,On-take(Japan)
2014,,Estratovolcán,,,Gamalama(Indonesia)
